Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2
"C1","1","10U","","","Capacitor - Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1218-1131230.pdf","Panasonic","ECA-1EM100I","Mouser","667-ECA-1EM100I","https://www.mouser.ca/ProductDetail/Panasonic/ECA-1EM100I?qs=rMMd5vBiahoPyQAc8NWEpA%3D%3D","","",""
"C2 C5 C6 C9 C10 C11 C12","7","1U","","","Capacitor - Electrolytic","https://www.mouser.ca/datasheet/2/231/161588148197-2307385.pdf","Lelon","SEA010M1HBK-0407P","Mouser","140-SEA1R0M1HBK0407","https://www.mouser.ca/ProductDetail/Lelon/SEA010M1HBK-0407P?qs=tsfqLUzc7IqlOdpxXJYLkw%3D%3D","","",""
"C3 C4 C7 C8 C13 C14","6","100N","","","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","",""
"D1","1","1N4001","","","50V 1A General Purpose Rectifier Diode, DO-41","http://www.vishay.com/docs/88503/1n4001.pdf","onsemi","1N4001RLG","Mouser","863-1N4001RLG","https://www.mouser.ca/ProductDetail/onsemi/1N4001RLG?qs=y2kkmE52mdNtNRrsA1ylQg%3D%3D","","",""
"D2 D3 D4 D5 D6 D7 D8","7","LED","","","Light emitting diode","https://www.mouser.ca/datasheet/2/239/lite-on_lite-s-a0002934679-1-1737726.pdf","Lite-On","LTL-1CHE","Mouser"," 859-LTL-1CHE","https://www.mouser.ca/ProductDetail/Lite-On/LTL-1CHE?qs=sGAEpiMZZMvHYEB9WUp7Em3%2F6iChtzTMHM3HaPXyhc0%3D","","",""
"J1","1","V-IN","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","https://cdn-shop.adafruit.com/datasheets/00548.pdf","","","Adafruit","598","https://www.adafruit.com/product/598","Mouser","710-61303211821","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61303211821?qs=ZtY9WdtwX55M%2FH%2FSrHZ9xA%3D%3D"
"R1 R2 R6 R10 R14 R18 R22 R26 R30","9","1K","","","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D","","",""
"R3 R4 R5 R7 R8 R9 R11 R12 R13 R15 R16 R17 R19 R20 R21 R23 R24 R25 R27 R28 R29","21","100K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-100K","Mouser","603-MFR-12FTF52-100K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-100K?qs=oAGoVhmvjhxn7uX6J9%2FOug%3D%3D","","",""
"U1","1","DUT","","Socket only","Single Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","https://www.mouser.ca/datasheet/2/273/MMMC_S_A0004812225_1-2556829.pdf","Mill-Max","110-47-308-41-001000 ","Mouser","575-1104730841001000","https://www.mouser.ca/ProductDetail/Mill-Max/110-47-308-41-001000?qs=5aG0NVq1C4yjuEd6bRM23w%3D%3D","","",""
"U2","1","DUT","","Socket only","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","https://www.mouser.ca/datasheet/2/273/MMMC_S_A0004812225_1-2556829.pdf","Mill-Max","110-47-308-41-001000 ","Mouser","575-1104730841001000","https://www.mouser.ca/ProductDetail/Mill-Max/110-47-308-41-001000?qs=5aG0NVq1C4yjuEd6bRM23w%3D%3D","","",""
"U3","1","DUT","","Socket only","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","https://www.mouser.ca/datasheet/2/273/MMMC_S_A0004813833_1-2556290.pdf","Mill-Max","110-47-314-41-001000","Mouser","575-1104731441001000","https://www.mouser.ca/ProductDetail/Mill-Max/110-47-314-41-001000?qs=5aG0NVq1C4ysyq77BxEvbg%3D%3D","","",""
